;;;;;
Historico Aportes Diario 2015;;;;;
;;;;;
Fecha;Region Hidrologica;Nombre Rio;Aportes Caudal m3/s;Aportes Energia kWh;Aportes %
2015-03-14;ANTIOQUIA;GUADALUPE;6,65;1.815.300,00;50,29%
2015-03-14;ANTIOQUIA;GUATAPE;24,48;4.135.600,00;98,47%
2015-03-14;ANTIOQUIA;MIEL I;66,26;3.195.000,00;77,93%
2015-03-14;ANTIOQUIA;NARE;19,17;6.772.400,00;53,54%
2015-03-14;ANTIOQUIA;PORCE II;63,81;8.123.400,00;119,81%
2015-03-14;ANTIOQUIA;PORCE III;29,57;2.181.600,00;169,12%
2015-03-14;ANTIOQUIA;SAN CARLOS;24,11;3.169.200,00;136,60%
2015-03-14;ANTIOQUIA;TENCHE;2,69;735.400,00;90,79%
2015-03-14;CARIBE;SINU URRA;63,77;678.600,00;44,94%
2015-03-14;CENTRO;AMOYA;1,00;116.800,00;6,42%
2015-03-14;CENTRO;BOGOTA N.R.;0,00;;
2015-03-14;CENTRO;MAGDALENA BETANIA;265,48;3.973.900,00;74,98%
2015-03-14;CENTRO;PRADO;19,17;225.400,00;32,20%
2015-03-14;CENTRO;SOGAMOSO;223,89;7.010.700,00;79,40%
2015-03-14;ORIENTE;BATA;10,87;1.829.000,00;52,56%
2015-03-14;ORIENTE;CHUZA;1,50;596.600,00;25,28%
2015-03-14;ORIENTE;GUAVIO;12,58;2.941.200,00;40,07%
2015-03-14;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.360.200,00;71,74%
2015-03-14;VALLE;ALTOANCHICAYA;85,86;9.141.200,00;227,39%
2015-03-14;VALLE;CALIMA;5,78;259.900,00;59,07%
2015-03-14;VALLE;CAUCA SALVAJINA;146,55;3.473.900,00;105,59%
2015-03-14;VALLE;DIGUA;19,97;255.000,00;94,44%
2015-03-14;VALLE;FLORIDA II;0,00;;
2015-03-15;ANTIOQUIA;A. SAN LORENZO;19,60;4.479.100,00;77,90%
2015-03-15;ANTIOQUIA;CONCEPCION;2,65;723.100,00;55,62%
2015-03-15;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);4,30;1.174.700,00;58,44%
2015-03-15;ANTIOQUIA;DESV. MANSO;0,71;34.400,00;6,62%
2015-03-15;ANTIOQUIA;GRANDE;12,07;3.783.800,00;50,72%
2015-03-15;ANTIOQUIA;GUADALUPE;9,89;2.702.000,00;74,85%
2015-03-15;ANTIOQUIA;GUATAPE;25,99;4.389.900,00;104,52%
2015-03-15;ANTIOQUIA;MIEL I;90,40;4.359.000,00;106,32%
2015-03-15;ANTIOQUIA;NARE;22,98;8.119.100,00;64,18%
2015-03-15;ANTIOQUIA;PORCE II;41,35;5.263.300,00;77,63%
2015-03-15;ANTIOQUIA;PORCE III;0,35;25.500,00;1,98%
2015-03-15;ANTIOQUIA;SAN CARLOS;27,79;3.653.200,00;157,47%
2015-03-15;ANTIOQUIA;TENCHE;3,39;925.500,00;114,26%
2015-03-15;CARIBE;SINU URRA;58,35;620.900,00;41,12%
2015-03-15;CENTRO;AMOYA;1,00;116.800,00;6,42%
2015-03-15;CENTRO;BOGOTA N.R.;5,95;2.366.600,00;53,54%
2015-03-15;CENTRO;MAGDALENA BETANIA;313,57;4.693.800,00;88,56%
2015-03-15;CENTRO;PRADO;26,25;308.600,00;44,09%
2015-03-15;CENTRO;SOGAMOSO;226,09;7.079.400,00;80,17%
2015-03-15;ORIENTE;BATA;10,74;1.807.200,00;51,93%
2015-03-15;ORIENTE;CHUZA;2,93;1.165.400,00;49,38%
2015-03-15;ORIENTE;GUAVIO;8,16;1.907.800,00;25,99%
2015-03-15;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.246.700,00;68,29%
2015-03-15;VALLE;ALTOANCHICAYA;43,70;4.652.600,00;115,74%
2015-03-15;VALLE;CALIMA;3,93;176.700,00;40,16%
2015-03-15;VALLE;CAUCA SALVAJINA;109,51;2.595.900,00;78,90%
2015-03-15;VALLE;DIGUA;20,91;267.000,00;98,89%
2015-03-15;VALLE;FLORIDA II;7,08;141.600,00;88,50%
2015-03-16;ANTIOQUIA;A. SAN LORENZO;16,56;3.784.700,00;65,82%
2015-03-16;ANTIOQUIA;CONCEPCION;3,13;855.100,00;65,78%
2015-03-16;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);4,27;1.166.500,00;58,03%
2015-03-16;ANTIOQUIA;DESV. MANSO;1,85;89.300,00;17,17%
2015-03-16;ANTIOQUIA;GRANDE;11,84;3.713.900,00;49,78%
2015-03-16;ANTIOQUIA;GUADALUPE;10,03;2.740.800,00;75,92%
2015-03-16;ANTIOQUIA;GUATAPE;19,43;3.282.600,00;78,16%
2015-03-16;ANTIOQUIA;MIEL I;168,77;8.138.100,00;198,49%
2015-03-16;ANTIOQUIA;NARE;22,07;7.798.200,00;61,65%
2015-03-16;ANTIOQUIA;PORCE II;18,19;2.315.200,00;34,15%
2015-03-16;ANTIOQUIA;PORCE III;20,76;1.531.700,00;118,74%
2015-03-16;ANTIOQUIA;SAN CARLOS;21,30;2.800.000,00;120,69%
2015-03-16;ANTIOQUIA;TENCHE;2,03;554.000,00;68,40%
2015-03-16;CARIBE;SINU URRA;60,91;648.200,00;42,93%
2015-03-16;CENTRO;AMOYA;1,00;116.800,00;6,42%
2015-03-16;CENTRO;BOGOTA N.R.;0,50;198.900,00;4,50%
2015-03-16;CENTRO;MAGDALENA BETANIA;148,93;2.229.300,00;42,06%
2015-03-16;CENTRO;PRADO;77,76;914.300,00;130,61%
2015-03-16;CENTRO;SOGAMOSO;178,24;5.581.100,00;63,21%
2015-03-16;ORIENTE;BATA;9,70;1.632.200,00;46,90%
2015-03-16;ORIENTE;CHUZA;2,03;807.400,00;34,21%
2015-03-16;ORIENTE;GUAVIO;9,83;2.298.300,00;31,31%
2015-03-16;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.200.500,00;66,88%
2015-03-16;VALLE;ALTOANCHICAYA;84,34;8.979.400,00;223,37%
2015-03-16;VALLE;CALIMA;17,62;792.300,00;180,07%
2015-03-16;VALLE;CAUCA SALVAJINA;96,51;2.287.800,00;69,54%
2015-03-16;VALLE;DIGUA;25,84;330.000,00;122,22%
2015-03-16;VALLE;FLORIDA II;7,05;141.000,00;88,13%
2015-03-17;ANTIOQUIA;A. SAN LORENZO;16,44;3.758.100,00;65,36%
2015-03-17;ANTIOQUIA;CONCEPCION;2,67;729.100,00;56,08%
2015-03-17;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);4,28;1.169.200,00;58,17%
2015-03-17;ANTIOQUIA;DESV. MANSO;0,00;;
2015-03-17;ANTIOQUIA;GRANDE;13,09;4.105.300,00;55,03%
2015-03-17;ANTIOQUIA;GUADALUPE;8,36;2.282.400,00;63,22%
2015-03-17;ANTIOQUIA;GUATAPE;24,92;4.208.900,00;100,21%
2015-03-17;ANTIOQUIA;MIEL I;76,28;3.678.300,00;89,71%
2015-03-17;ANTIOQUIA;NARE;13,48;4.762.700,00;37,65%
2015-03-17;ANTIOQUIA;PORCE II;42,55;5.416.300,00;79,89%
2015-03-17;ANTIOQUIA;PORCE III;0,42;31.100,00;2,41%
2015-03-17;ANTIOQUIA;SAN CARLOS;20,15;2.648.300,00;114,15%
2015-03-17;ANTIOQUIA;TENCHE;1,59;434.100,00;53,59%
2015-03-17;CARIBE;SINU URRA;60,43;643.100,00;42,59%
2015-03-17;CENTRO;AMOYA;1,00;116.800,00;6,42%
2015-03-17;CENTRO;BOGOTA N.R.;1,71;680.200,00;15,39%
2015-03-17;CENTRO;MAGDALENA BETANIA;191,45;2.865.800,00;54,07%
2015-03-17;CENTRO;PRADO;50,10;589.100,00;84,16%
2015-03-17;CENTRO;SOGAMOSO;272,70;8.538.900,00;96,70%
2015-03-17;ORIENTE;BATA;12,62;2.123.500,00;61,02%
2015-03-17;ORIENTE;CHUZA;2,05;815.400,00;34,55%
2015-03-17;ORIENTE;GUAVIO;14,01;3.275.600,00;44,63%
2015-03-17;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.117.700,00;64,37%
2015-03-17;VALLE;ALTOANCHICAYA;68,02;7.241.800,00;180,14%
2015-03-17;VALLE;CALIMA;10,24;460.400,00;104,64%
2015-03-17;VALLE;CAUCA SALVAJINA;104,62;2.480.000,00;75,38%
2015-03-17;VALLE;DIGUA;33,42;426.800,00;158,07%
2015-03-17;VALLE;FLORIDA II;6,98;139.600,00;87,25%
2015-03-18;ANTIOQUIA;A. SAN LORENZO;17,48;3.992.400,00;69,43%
2015-03-18;ANTIOQUIA;CONCEPCION;2,89;787.400,00;60,57%
2015-03-18;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);5,02;1.368.200,00;68,07%
2015-03-18;ANTIOQUIA;DESV. MANSO;4,24;204.300,00;39,29%
2015-03-18;ANTIOQUIA;GRANDE;18,07;5.652.400,00;75,77%
2015-03-18;ANTIOQUIA;GUADALUPE;11,34;3.090.500,00;85,61%
2015-03-18;ANTIOQUIA;GUATAPE;25,61;4.322.400,00;102,91%
2015-03-18;ANTIOQUIA;MIEL I;70,03;3.377.100,00;82,37%
2015-03-18;ANTIOQUIA;NARE;24,11;8.469.400,00;66,95%
2015-03-18;ANTIOQUIA;PORCE II;47,01;5.983.000,00;88,24%
2015-03-18;ANTIOQUIA;PORCE III;8,11;598.100,00;46,36%
2015-03-18;ANTIOQUIA;SAN CARLOS;26,69;3.508.100,00;151,21%
2015-03-18;ANTIOQUIA;TENCHE;5,89;1.605.900,00;198,26%
2015-03-18;CARIBE;SINU URRA;59,84;636.800,00;42,17%
2015-03-18;CENTRO;AMOYA;1,00;116.800,00;6,42%
2015-03-18;CENTRO;BOGOTA N.R.;30,37;12.079.700,00;273,30%
2015-03-18;CENTRO;MAGDALENA BETANIA;531,58;7.957.100,00;150,13%
2015-03-18;CENTRO;PRADO;421,34;4.953.900,00;707,70%
2015-03-18;CENTRO;SOGAMOSO;185,31;5.802.400,00;65,71%
2015-03-18;ORIENTE;BATA;14,03;2.360.700,00;67,84%
2015-03-18;ORIENTE;CHUZA;3,01;1.197.200,00;50,73%
2015-03-18;ORIENTE;GUAVIO;9,93;2.321.700,00;31,63%
2015-03-18;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;3.169.300,00;96,33%
2015-03-18;VALLE;ALTOANCHICAYA;95,71;10.189.900,00;253,48%
2015-03-18;VALLE;CALIMA;17,35;780.100,00;177,30%
2015-03-18;VALLE;CAUCA SALVAJINA;119,97;2.843.900,00;86,44%
2015-03-18;VALLE;DIGUA;49,39;630.700,00;233,59%
2015-03-18;VALLE;FLORIDA II;11,20;224.000,00;140,00%
2015-03-19;ANTIOQUIA;A. SAN LORENZO;26,75;6.109.400,00;106,25%
2015-03-19;ANTIOQUIA;CONCEPCION;3,92;1.067.300,00;82,10%
2015-03-19;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);5,57;1.517.900,00;75,52%
2015-03-19;ANTIOQUIA;DESV. MANSO;1,70;81.800,00;15,73%
2015-03-19;ANTIOQUIA;GRANDE;32,01;10.009.700,00;134,18%
2015-03-19;ANTIOQUIA;GUADALUPE;11,50;3.135.200,00;86,85%
2015-03-19;ANTIOQUIA;GUATAPE;32,28;5.446.400,00;129,68%
2015-03-19;ANTIOQUIA;MIEL I;82,57;3.981.600,00;97,11%
2015-03-19;ANTIOQUIA;NARE;65,64;23.058.900,00;182,28%
2015-03-19;ANTIOQUIA;PORCE II;102,46;13.040.900,00;192,34%
2015-03-19;ANTIOQUIA;PORCE III;6,09;449.300,00;34,83%
2015-03-19;ANTIOQUIA;SAN CARLOS;49,32;6.482.400,00;279,41%
2015-03-19;ANTIOQUIA;TENCHE;0,48;131.400,00;16,22%
2015-03-19;CARIBE;SINU URRA;64,51;686.500,00;45,46%
2015-03-19;CENTRO;AMOYA;1,00;116.800,00;6,42%
2015-03-19;CENTRO;BOGOTA N.R.;15,93;6.336.200,00;143,35%
2015-03-19;CENTRO;MAGDALENA BETANIA;651,26;9.748.600,00;183,94%
2015-03-19;CENTRO;PRADO;98,58;1.159.100,00;165,59%
2015-03-19;CENTRO;SOGAMOSO;399,01;12.494.200,00;141,50%
2015-03-19;ORIENTE;BATA;29,86;5.024.400,00;144,38%
2015-03-19;ORIENTE;CHUZA;3,97;1.579.100,00;66,91%
2015-03-19;ORIENTE;GUAVIO;13,34;3.118.900,00;42,49%
2015-03-19;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;4.170.300,00;126,76%
2015-03-19;VALLE;ALTOANCHICAYA;60,49;6.440.200,00;160,20%
2015-03-19;VALLE;CALIMA;15,02;675.400,00;153,50%
2015-03-19;VALLE;CAUCA SALVAJINA;102,44;2.428.300,00;73,81%
2015-03-19;VALLE;DIGUA;28,58;365.000,00;135,19%
2015-03-19;VALLE;FLORIDA II;11,33;226.600,00;141,63%
2015-03-20;ANTIOQUIA;A. SAN LORENZO;22,48;5.135.800,00;89,32%
2015-03-20;ANTIOQUIA;CONCEPCION;4,35;1.186.700,00;91,28%
2015-03-20;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);5,85;1.595.300,00;79,37%
2015-03-20;ANTIOQUIA;DESV. MANSO;2,50;120.300,00;23,13%
2015-03-20;ANTIOQUIA;GRANDE;22,78;7.125.000,00;95,51%
2015-03-20;ANTIOQUIA;GUADALUPE;17,02;4.637.800,00;128,47%
2015-03-20;ANTIOQUIA;GUATAPE;42,10;7.104.400,00;169,15%
2015-03-20;ANTIOQUIA;MIEL I;73,66;3.552.000,00;86,63%
2015-03-20;ANTIOQUIA;NARE;41,39;14.542.100,00;114,96%
2015-03-20;ANTIOQUIA;PORCE II;68,43;8.710.300,00;128,47%
2015-03-20;ANTIOQUIA;PORCE III;0,81;59.800,00;4,64%
2015-03-20;ANTIOQUIA;SAN CARLOS;32,70;4.297.700,00;185,25%
2015-03-20;ANTIOQUIA;TENCHE;4,83;1.315.100,00;162,36%
2015-03-20;CARIBE;SINU URRA;63,22;672.800,00;44,56%
2015-03-20;CENTRO;AMOYA;1,00;116.800,00;6,42%
2015-03-20;CENTRO;BOGOTA N.R.;31,94;12.704.200,00;287,43%
2015-03-20;CENTRO;MAGDALENA BETANIA;436,54;6.534.500,00;123,29%
2015-03-20;CENTRO;PRADO;131,35;1.544.400,00;220,63%
2015-03-20;CENTRO;SOGAMOSO;610,96;19.131.000,00;216,66%
2015-03-20;ORIENTE;BATA;37,98;6.390.700,00;183,64%
2015-03-20;ORIENTE;CHUZA;5,85;2.326.800,00;98,59%
2015-03-20;ORIENTE;GUAVIO;23,46;5.485.000,00;74,73%
2015-03-20;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;4.250.500,00;129,19%
2015-03-20;VALLE;ALTOANCHICAYA;73,61;7.837.000,00;194,95%
2015-03-20;VALLE;CALIMA;11,11;499.600,00;113,55%
2015-03-20;VALLE;CAUCA SALVAJINA;154,89;3.671.600,00;111,60%
2015-03-20;VALLE;DIGUA;49,70;634.700,00;235,07%
2015-03-20;VALLE;FLORIDA II;17,18;343.600,00;214,75%
2015-03-21;ANTIOQUIA;A. SAN LORENZO;27,11;6.192.300,00;107,69%
2015-03-21;ANTIOQUIA;CONCEPCION;5,13;1.398.200,00;107,55%
2015-03-21;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);5,82;1.586.300,00;78,92%
2015-03-21;ANTIOQUIA;DESV. MANSO;6,07;292.500,00;56,25%
2015-03-21;ANTIOQUIA;GRANDE;20,83;6.514.600,00;87,33%
2015-03-21;ANTIOQUIA;GUADALUPE;14,81;4.035.200,00;111,78%
2015-03-21;ANTIOQUIA;GUATAPE;30,33;5.117.400,00;121,84%
2015-03-21;ANTIOQUIA;MIEL I;107,74;5.195.200,00;126,71%
2015-03-21;ANTIOQUIA;NARE;41,39;14.540.700,00;114,95%
2015-03-21;ANTIOQUIA;PORCE II;90,07;11.464.500,00;169,09%
2015-03-21;ANTIOQUIA;PORCE III;24,81;1.830.400,00;141,89%
2015-03-21;ANTIOQUIA;SAN CARLOS;38,20;5.020.700,00;216,41%
2015-03-21;ANTIOQUIA;TENCHE;3,01;820.100,00;101,25%
2015-03-21;CARIBE;SINU URRA;69,20;736.400,00;48,77%
2015-03-21;CENTRO;AMOYA;1,00;116.800,00;6,42%
2015-03-21;CENTRO;BOGOTA N.R.;23,74;9.442.600,00;213,63%
2015-03-21;CENTRO;MAGDALENA BETANIA;635,37;9.510.700,00;179,45%
2015-03-21;CENTRO;PRADO;804,83;9.462.900,00;1351,84%
2015-03-21;CENTRO;SOGAMOSO;722,86;22.634.900,00;256,34%
2015-03-21;ORIENTE;BATA;30,12;5.068.100,00;145,64%
2015-03-21;ORIENTE;CHUZA;6,30;2.505.800,00;106,18%
2015-03-21;ORIENTE;GUAVIO;31,76;7.425.600,00;101,17%
2015-03-21;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;4.743.400,00;144,18%
2015-03-21;VALLE;ALTOANCHICAYA;56,74;6.040.900,00;150,27%
2015-03-21;VALLE;CALIMA;10,58;475.700,00;108,11%
2015-03-21;VALLE;CAUCA SALVAJINA;156,04;3.698.900,00;112,43%
2015-03-21;VALLE;DIGUA;39,28;501.600,00;185,78%
2015-03-21;VALLE;FLORIDA II;11,98;239.600,00;149,75%
2015-03-22;ANTIOQUIA;A. SAN LORENZO;24,51;5.598.900,00;97,37%
2015-03-22;ANTIOQUIA;CONCEPCION;4,10;1.116.700,00;85,90%
2015-03-22;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);6,05;1.648.900,00;82,03%
2015-03-22;ANTIOQUIA;DESV. MANSO;1,48;71.400,00;13,73%
2015-03-22;ANTIOQUIA;GRANDE;19,47;6.089.600,00;81,63%
2015-03-22;ANTIOQUIA;GUADALUPE;11,81;3.219.400,00;89,18%
2015-03-22;ANTIOQUIA;GUATAPE;17,62;2.972.600,00;70,78%
2015-03-22;ANTIOQUIA;MIEL I;83,21;4.012.200,00;97,86%
2015-03-22;ANTIOQUIA;NARE;31,86;11.192.700,00;88,48%
2015-03-22;ANTIOQUIA;PORCE II;83,84;10.670.800,00;157,39%
2015-03-22;ANTIOQUIA;PORCE III;20,20;1.490.200,00;115,52%
2015-03-22;ANTIOQUIA;SAN CARLOS;26,52;3.486.000,00;150,26%
2015-03-22;ANTIOQUIA;TENCHE;2,86;779.200,00;96,20%
2015-03-22;CARIBE;SINU URRA;56,37;599.900,00;39,73%
2015-03-22;CENTRO;AMOYA;2,00;233.700,00;12,84%
2015-03-22;CENTRO;BOGOTA N.R.;21,77;8.659.100,00;195,91%
2015-03-22;CENTRO;MAGDALENA BETANIA;511,43;7.655.500,00;144,44%
2015-03-22;CENTRO;PRADO;143,64;1.688.900,00;241,27%
2015-03-22;CENTRO;SOGAMOSO;521,77;16.338.000,00;185,03%
2015-03-22;ORIENTE;BATA;22,84;3.843.100,00;110,43%
2015-03-22;ORIENTE;CHUZA;3,52;1.400.100,00;59,33%
2015-03-22;ORIENTE;GUAVIO;21,63;5.057.200,00;68,90%
2015-03-22;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;3.540.600,00;107,62%
2015-03-22;VALLE;ALTOANCHICAYA;38,77;4.127.700,00;102,68%
2015-03-22;VALLE;CALIMA;8,21;369.200,00;83,91%
2015-03-22;VALLE;CAUCA SALVAJINA;130,01;3.081.900,00;93,67%
2015-03-22;VALLE;DIGUA;32,18;411.000,00;152,22%
2015-03-22;VALLE;FLORIDA II;9,85;197.000,00;123,13%
2015-03-23;ANTIOQUIA;A. SAN LORENZO;19,12;4.366.500,00;75,94%
2015-03-23;ANTIOQUIA;CONCEPCION;3,11;847.400,00;65,18%
2015-03-23;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);4,82;1.313.700,00;65,36%
2015-03-23;ANTIOQUIA;DESV. MANSO;4,72;227.700,00;43,79%
2015-03-23;ANTIOQUIA;GRANDE;18,78;5.871.600,00;78,71%
2015-03-23;ANTIOQUIA;GUADALUPE;11,21;3.055.300,00;84,63%
2015-03-23;ANTIOQUIA;GUATAPE;23,95;4.041.900,00;96,24%
2015-03-23;ANTIOQUIA;MIEL I;156,95;7.568.100,00;184,59%
2015-03-23;ANTIOQUIA;NARE;27,28;9.583.700,00;75,76%
2015-03-23;ANTIOQUIA;PORCE II;50,58;6.438.200,00;94,96%
2015-03-23;ANTIOQUIA;PORCE III;5,02;370.500,00;28,72%
2015-03-23;ANTIOQUIA;SAN CARLOS;22,60;2.971.300,00;128,07%
2015-03-23;ANTIOQUIA;TENCHE;2,77;756.100,00;93,35%
2015-03-23;CARIBE;SINU URRA;58,99;627.700,00;41,57%
2015-03-23;CENTRO;AMOYA;8,42;983.200,00;54,02%
2015-03-23;CENTRO;BOGOTA N.R.;34,37;13.670.700,00;309,29%
2015-03-23;CENTRO;MAGDALENA BETANIA;397,33;5.947.600,00;112,22%
2015-03-23;CENTRO;PRADO;161,27;1.896.100,00;270,87%
2015-03-23;CENTRO;SOGAMOSO;501,27;15.696.000,00;177,76%
2015-03-23;ORIENTE;BATA;20,12;3.385.500,00;97,28%
2015-03-23;ORIENTE;CHUZA;4,01;1.595.000,00;67,58%
2015-03-23;ORIENTE;GUAVIO;15,05;3.518.700,00;47,94%
2015-03-23;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;3.481.600,00;105,82%
2015-03-23;VALLE;ALTOANCHICAYA;48,24;5.135.900,00;127,76%
2015-03-23;VALLE;CALIMA;11,58;520.700,00;118,34%
2015-03-23;VALLE;CAUCA SALVAJINA;132,42;3.139.000,00;95,41%
2015-03-23;VALLE;DIGUA;28,46;363.400,00;134,59%
2015-03-23;VALLE;FLORIDA II;8,23;164.600,00;102,88%
2015-03-24;ANTIOQUIA;A. SAN LORENZO;17,12;3.910.400,00;68,01%
2015-03-24;ANTIOQUIA;CONCEPCION;2,71;739.400,00;56,88%
2015-03-24;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);4,57;1.245.600,00;61,97%
2015-03-24;ANTIOQUIA;DESV. MANSO;3,65;176.000,00;33,85%
2015-03-24;ANTIOQUIA;GRANDE;15,10;4.722.600,00;63,31%
2015-03-24;ANTIOQUIA;GUADALUPE;10,40;2.834.300,00;78,51%
2015-03-24;ANTIOQUIA;GUATAPE;17,04;2.875.000,00;68,45%
2015-03-24;ANTIOQUIA;MIEL I;203,09;9.793.200,00;238,86%
2015-03-24;ANTIOQUIA;NARE;22,25;7.815.600,00;61,78%
2015-03-24;ANTIOQUIA;PORCE II;22,91;2.915.800,00;43,01%
2015-03-24;ANTIOQUIA;PORCE III;4,25;313.600,00;24,31%
2015-03-24;ANTIOQUIA;SAN CARLOS;20,50;2.694.800,00;116,16%
2015-03-24;ANTIOQUIA;TENCHE;2,73;744.300,00;91,89%
2015-03-24;CARIBE;SINU URRA;54,87;583.900,00;38,67%
2015-03-24;CENTRO;AMOYA;8,71;1.017.700,00;55,92%
2015-03-24;CENTRO;BOGOTA N.R.;9,10;3.619.500,00;81,89%
2015-03-24;CENTRO;MAGDALENA BETANIA;318,42;4.766.400,00;89,93%
2015-03-24;CENTRO;PRADO;126,27;1.484.600,00;212,09%
2015-03-24;CENTRO;SOGAMOSO;308,68;9.665.500,00;109,46%
2015-03-24;ORIENTE;BATA;15,23;2.562.700,00;73,64%
2015-03-24;ORIENTE;CHUZA;2,24;891.000,00;37,75%
2015-03-24;ORIENTE;GUAVIO;9,60;2.244.500,00;30,58%
2015-03-24;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.564.200,00;77,94%
2015-03-24;VALLE;ALTOANCHICAYA;43,78;4.661.100,00;115,95%
2015-03-24;VALLE;CALIMA;8,30;373.200,00;84,82%
2015-03-24;VALLE;CAUCA SALVAJINA;131,50;3.117.200,00;94,75%
2015-03-24;VALLE;DIGUA;28,11;359.000,00;132,96%
2015-03-24;VALLE;FLORIDA II;7,20;144.000,00;90,00%
2015-03-25;ANTIOQUIA;A. SAN LORENZO;16,49;3.766.500,00;65,50%
2015-03-25;ANTIOQUIA;CONCEPCION;2,63;715.700,00;55,05%
2015-03-25;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);4,41;1.202.200,00;59,81%
2015-03-25;ANTIOQUIA;DESV. MANSO;0,70;33.500,00;6,44%
2015-03-25;ANTIOQUIA;GRANDE;13,56;4.241.000,00;56,85%
2015-03-25;ANTIOQUIA;GUADALUPE;8,53;2.324.600,00;64,39%
2015-03-25;ANTIOQUIA;GUATAPE;13,91;2.347.200,00;55,89%
2015-03-25;ANTIOQUIA;MIEL I;117,74;5.677.700,00;138,48%
2015-03-25;ANTIOQUIA;NARE;20,03;7.036.700,00;55,63%
2015-03-25;ANTIOQUIA;PORCE II;47,34;6.025.600,00;88,87%
2015-03-25;ANTIOQUIA;PORCE III;1,85;136.600,00;10,59%
2015-03-25;ANTIOQUIA;SAN CARLOS;19,04;2.503.000,00;107,89%
2015-03-25;ANTIOQUIA;TENCHE;2,06;562.600,00;69,46%
2015-03-25;CARIBE;SINU URRA;49,84;530.400,00;35,13%
2015-03-25;CENTRO;AMOYA;8,20;958.100,00;52,64%
2015-03-25;CENTRO;BOGOTA N.R.;19,13;7.609.000,00;172,15%
2015-03-25;CENTRO;MAGDALENA BETANIA;409,45;6.129.000,00;115,64%
2015-03-25;CENTRO;PRADO;92,41;1.086.500,00;155,21%
2015-03-25;CENTRO;SOGAMOSO;313,81;9.826.300,00;111,28%
2015-03-25;ORIENTE;BATA;13,27;2.232.900,00;64,16%
2015-03-25;ORIENTE;CHUZA;3,21;1.276.800,00;54,10%
2015-03-25;ORIENTE;GUAVIO;11,04;2.581.200,00;35,17%
2015-03-25;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.603.000,00;79,12%
2015-03-25;VALLE;ALTOANCHICAYA;46,95;4.998.600,00;124,34%
2015-03-25;VALLE;CALIMA;9,29;417.700,00;94,93%
2015-03-25;VALLE;CAUCA SALVAJINA;130,59;3.095.600,00;94,09%
2015-03-25;VALLE;DIGUA;29,17;372.500,00;137,96%
2015-03-25;VALLE;FLORIDA II;8,00;160.000,00;100,00%
2015-03-26;ANTIOQUIA;A. SAN LORENZO;15,89;3.650.800,00;63,49%
2015-03-26;ANTIOQUIA;CONCEPCION;3,16;862.100,00;66,32%
2015-03-26;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);4,33;1.180.200,00;58,72%
2015-03-26;ANTIOQUIA;DESV. MANSO;0,03;1.500,00;0,29%
2015-03-26;ANTIOQUIA;GRANDE;12,34;3.857.900,00;51,71%
2015-03-26;ANTIOQUIA;GUADALUPE;7,68;2.091.800,00;57,94%
2015-03-26;ANTIOQUIA;GUATAPE;13,66;2.303.300,00;54,84%
2015-03-26;ANTIOQUIA;MIEL I;137,25;6.618.100,00;161,42%
2015-03-26;ANTIOQUIA;NARE;51,80;18.186.600,00;143,77%
2015-03-26;ANTIOQUIA;PORCE II;64,46;8.204.100,00;121,00%
2015-03-26;ANTIOQUIA;PORCE III;5,02;370.700,00;28,74%
2015-03-26;ANTIOQUIA;SAN CARLOS;18,53;2.432.400,00;104,84%
2015-03-26;ANTIOQUIA;TENCHE;2,37;646.200,00;79,78%
2015-03-26;CARIBE;SINU URRA;50,16;539.100,00;35,70%
2015-03-26;CENTRO;AMOYA;8,26;964.400,00;52,99%
2015-03-26;CENTRO;BOGOTA N.R.;10,50;4.176.400,00;94,49%
2015-03-26;CENTRO;MAGDALENA BETANIA;273,76;4.097.900,00;77,32%
2015-03-26;CENTRO;PRADO;105,04;1.235.000,00;176,43%
2015-03-26;CENTRO;SOGAMOSO;332,98;10.426.400,00;118,08%
