;;;;;
Historico Aportes Diario 2015;;;;;
;;;;;
Fecha;Region Hidrologica;Nombre Rio;Aportes Caudal m3/s;Aportes Energia kWh;Aportes %
2015-01-03;VALLE;ALTOANCHICAYA;17,34;1.846.100,00;40,40%
2015-01-03;VALLE;CALIMA;6,81;306.200,00;61,24%
2015-01-03;VALLE;CAUCA SALVAJINA;84,75;2.009.000,00;51,25%
2015-01-03;VALLE;DIGUA;12,91;164.900,00;49,97%
2015-01-03;VALLE;FLORIDA II;8,23;164.600,00;126,62%
2015-01-04;ANTIOQUIA;A. SAN LORENZO;18,43;4.212.800,00;75,77%
2015-01-04;ANTIOQUIA;CONCEPCION;4,51;1.233.100,00;88,08%
2015-01-04;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);5,89;1.609.000,00;73,47%
2015-01-04;ANTIOQUIA;DESV. MANSO;0,00;;
2015-01-04;ANTIOQUIA;GRANDE;14,27;4.475.600,00;60,98%
2015-01-04;ANTIOQUIA;GUADALUPE;13,85;3.783.800,00;99,57%
2015-01-04;ANTIOQUIA;GUATAPE;15,10;2.550.100,00;62,35%
2015-01-04;ANTIOQUIA;MIEL I;49,54;2.389.100,00;57,57%
2015-01-04;ANTIOQUIA;NARE;16,47;5.819.300,00;44,94%
2015-01-04;ANTIOQUIA;PORCE II;59,46;7.568.800,00;105,71%
2015-01-04;ANTIOQUIA;PORCE III;6,07;447.600,00;29,84%
2015-01-04;ANTIOQUIA;SAN CARLOS;20,01;2.630.000,00;112,88%
2015-01-04;ANTIOQUIA;TENCHE;4,27;1.165.400,00;159,64%
2015-01-04;CARIBE;SINU URRA;100,74;1.072.000,00;59,56%
2015-01-04;CENTRO;AMOYA;4,66;544.300,00;34,23%
2015-01-04;CENTRO;BOGOTA N.R.;0,00;;
2015-01-04;CENTRO;MAGDALENA BETANIA;166,13;2.486.800,00;58,38%
2015-01-04;CENTRO;PRADO;15,07;177.200,00;32,22%
2015-01-04;CENTRO;SOGAMOSO;86,85;2.719.500,00;42,49%
2015-01-04;ORIENTE;BATA;13,54;2.278.300,00;85,97%
2015-01-04;ORIENTE;CHUZA;1,37;544.900,00;48,65%
2015-01-04;ORIENTE;GUAVIO;13,67;3.196.100,00;75,74%
2015-01-04;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;1.933.800,00;59,69%
2015-01-04;VALLE;ALTOANCHICAYA;18,03;1.919.600,00;42,00%
2015-01-04;VALLE;CALIMA;2,33;104.800,00;20,96%
2015-01-04;VALLE;CAUCA SALVAJINA;85,01;2.015.100,00;51,41%
2015-01-04;VALLE;DIGUA;11,21;143.200,00;43,39%
2015-01-04;VALLE;FLORIDA II;8,23;164.600,00;126,62%
2015-01-05;ANTIOQUIA;A. SAN LORENZO;18,23;4.167.800,00;74,96%
2015-01-05;ANTIOQUIA;CONCEPCION;4,73;1.293.200,00;92,37%
2015-01-05;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);5,58;1.524.400,00;69,61%
2015-01-05;ANTIOQUIA;DESV. MANSO;0,00;;
2015-01-05;ANTIOQUIA;GRANDE;15,76;4.940.600,00;67,31%
2015-01-05;ANTIOQUIA;GUADALUPE;12,31;3.364.000,00;88,53%
2015-01-05;ANTIOQUIA;GUATAPE;11,42;1.928.300,00;47,15%
2015-01-05;ANTIOQUIA;MIEL I;45,26;2.182.500,00;52,59%
2015-01-05;ANTIOQUIA;NARE;19,89;7.028.900,00;54,28%
2015-01-05;ANTIOQUIA;PORCE II;47,22;6.011.300,00;83,96%
2015-01-05;ANTIOQUIA;PORCE III;1,06;78.400,00;5,23%
2015-01-05;ANTIOQUIA;SAN CARLOS;18,89;2.482.700,00;106,55%
2015-01-05;ANTIOQUIA;TENCHE;0,03;7.400,00;1,01%
2015-01-05;CARIBE;SINU URRA;100,67;1.071.300,00;59,52%
2015-01-05;CENTRO;AMOYA;4,43;517.900,00;32,57%
2015-01-05;CENTRO;BOGOTA N.R.;0,00;;
2015-01-05;CENTRO;MAGDALENA BETANIA;166,19;2.487.700,00;58,40%
2015-01-05;CENTRO;PRADO;42,89;504.300,00;91,69%
2015-01-05;CENTRO;SOGAMOSO;117,95;3.693.300,00;57,71%
2015-01-05;ORIENTE;BATA;13,03;2.192.500,00;82,74%
2015-01-05;ORIENTE;CHUZA;1,32;525.000,00;46,88%
2015-01-05;ORIENTE;GUAVIO;15,83;3.701.100,00;87,70%
2015-01-05;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;1.882.100,00;58,09%
2015-01-05;VALLE;ALTOANCHICAYA;14,86;1.582.100,00;34,62%
2015-01-05;VALLE;CALIMA;3,96;178.100,00;35,62%
2015-01-05;VALLE;CAUCA SALVAJINA;76,70;1.818.200,00;46,38%
2015-01-05;VALLE;DIGUA;12,95;165.400,00;50,12%
2015-01-05;VALLE;FLORIDA II;7,83;156.600,00;120,46%
2015-01-06;ANTIOQUIA;A. SAN LORENZO;17,99;4.111.100,00;73,94%
2015-01-06;ANTIOQUIA;CONCEPCION;4,78;1.305.300,00;93,24%
2015-01-06;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);5,45;1.488.800,00;67,98%
2015-01-06;ANTIOQUIA;DESV. MANSO;0,00;;
2015-01-06;ANTIOQUIA;GRANDE;14,28;4.477.100,00;61,00%
2015-01-06;ANTIOQUIA;GUADALUPE;11,26;3.076.300,00;80,96%
2015-01-06;ANTIOQUIA;GUATAPE;19,33;3.265.600,00;79,84%
2015-01-06;ANTIOQUIA;MIEL I;41,90;2.020.600,00;48,69%
2015-01-06;ANTIOQUIA;NARE;16,92;5.978.300,00;46,16%
2015-01-06;ANTIOQUIA;PORCE II;71,14;9.056.400,00;126,49%
2015-01-06;ANTIOQUIA;PORCE III;31,42;2.318.000,00;154,53%
2015-01-06;ANTIOQUIA;SAN CARLOS;19,66;2.583.600,00;110,88%
2015-01-06;ANTIOQUIA;TENCHE;1,79;490.100,00;67,14%
2015-01-06;CARIBE;SINU URRA;93,55;995.500,00;55,31%
2015-01-06;CENTRO;AMOYA;4,30;502.600,00;31,61%
2015-01-06;CENTRO;BOGOTA N.R.;1,26;501.200,00;14,28%
2015-01-06;CENTRO;MAGDALENA BETANIA;151,87;2.273.300,00;53,36%
2015-01-06;CENTRO;PRADO;30,76;361.700,00;65,76%
2015-01-06;CENTRO;SOGAMOSO;94,37;2.954.800,00;46,17%
2015-01-06;ORIENTE;BATA;12,25;2.061.200,00;77,78%
2015-01-06;ORIENTE;CHUZA;1,45;576.700,00;51,49%
2015-01-06;ORIENTE;GUAVIO;10,79;2.522.700,00;59,78%
2015-01-06;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.022.300,00;62,42%
2015-01-06;VALLE;ALTOANCHICAYA;19,65;2.092.100,00;45,78%
2015-01-06;VALLE;CALIMA;6,20;278.800,00;55,76%
2015-01-06;VALLE;CAUCA SALVAJINA;70,75;1.677.100,00;42,78%
2015-01-06;VALLE;DIGUA;10,75;137.300,00;41,61%
2015-01-06;VALLE;FLORIDA II;7,20;144.000,00;110,77%
